-1627990819853245614	0	0	-1956585426294730945	0	0	0	0	0	0
0	5597703767688633934	2413620995732581583	0	0	0	8530873436035301672	0	0	0
-5295447014111794661	0	0	0	0	0	0	0	0	4934287452320840302
-2916216157082032402	-2521192301518777764	-2660875980412634374	0	0	0	0	1706256742785406736	1358464321634121511	0
0	6020427076749934001	-9121095519444930154	0	6995042809163207456	0	0	0	-4991947861086152082	0
0	0	0	8445761935790750537	0	0	0	0	0	0
0	4215053395084778161	0	0	0	7868398708119532692	0	7645724800131220681	0	0
0	0	-2545145115426761154	0	0	0	0	0	0	0
0	0	6978408608623657402	0	0	0	0	0	0	0
0	0	-2182380084135873049	0	0	0	0	2711933802309469230	0	59157180392455231
